"Statistic","CensusYear","Sex","Age Last Birthday","At Each Year of Age","UNIT","VALUE"
"Population 2011 to 2016","2016","Male","48 years","Population","Number","31315"
"Population 2011 to 2016","2016","Male","48 years","Population at or under this age","Number","1626014"
"Population 2011 to 2016","2016","Male","48 years","Population at or over this age","Number","759729"
"Population 2011 to 2016","2016","Male","49 years","Population","Number","30809"
"Population 2011 to 2016","2016","Male","49 years","Population at or under this age","Number","1656823"
"Population 2011 to 2016","2016","Male","49 years","Population at or over this age","Number","728414"
"Population 2011 to 2016","2016","Male","50 years","Population","Number","30765"
"Population 2011 to 2016","2016","Male","50 years","Population at or under this age","Number","1687588"
"Population 2011 to 2016","2016","Male","50 years","Population at or over this age","Number","697605"
"Population 2011 to 2016","2016","Male","51 years","Population","Number","30446"
"Population 2011 to 2016","2016","Male","51 years","Population at or under this age","Number","1718034"
"Population 2011 to 2016","2016","Male","51 years","Population at or over this age","Number","666840"
"Population 2011 to 2016","2016","Male","52 years","Population","Number","29603"
"Population 2011 to 2016","2016","Male","52 years","Population at or under this age","Number","1747637"
"Population 2011 to 2016","2016","Male","52 years","Population at or over this age","Number","636394"
"Population 2011 to 2016","2016","Male","53 years","Population","Number","29032"
"Population 2011 to 2016","2016","Male","53 years","Population at or under this age","Number","1776669"
"Population 2011 to 2016","2016","Male","53 years","Population at or over this age","Number","606791"
"Population 2011 to 2016","2016","Male","54 years","Population","Number","28366"
"Population 2011 to 2016","2016","Male","54 years","Population at or under this age","Number","1805035"
"Population 2011 to 2016","2016","Male","54 years","Population at or over this age","Number","577759"
"Population 2011 to 2016","2016","Male","55 years","Population","Number","28324"
"Population 2011 to 2016","2016","Male","55 years","Population at or under this age","Number","1833359"
"Population 2011 to 2016","2016","Male","55 years","Population at or over this age","Number","549393"
"Population 2011 to 2016","2016","Male","56 years","Population","Number","27045"
"Population 2011 to 2016","2016","Male","56 years","Population at or under this age","Number","1860404"
"Population 2011 to 2016","2016","Male","56 years","Population at or over this age","Number","521069"
"Population 2011 to 2016","2016","Male","57 years","Population","Number","27175"
"Population 2011 to 2016","2016","Male","57 years","Population at or under this age","Number","1887579"
"Population 2011 to 2016","2016","Male","57 years","Population at or over this age","Number","494024"
"Population 2011 to 2016","2016","Male","58 years","Population","Number","25894"
"Population 2011 to 2016","2016","Male","58 years","Population at or under this age","Number","1913473"
"Population 2011 to 2016","2016","Male","58 years","Population at or over this age","Number","466849"
"Population 2011 to 2016","2016","Male","59 years","Population","Number","25420"
"Population 2011 to 2016","2016","Male","59 years","Population at or under this age","Number","1938893"
"Population 2011 to 2016","2016","Male","59 years","Population at or over this age","Number","440955"
"Population 2011 to 2016","2016","Male","60 years","Population","Number","24802"
"Population 2011 to 2016","2016","Male","60 years","Population at or under this age","Number","1963695"
"Population 2011 to 2016","2016","Male","60 years","Population at or over this age","Number","415535"
"Population 2011 to 2016","2016","Male","61 years","Population","Number","24435"
"Population 2011 to 2016","2016","Male","61 years","Population at or under this age","Number","1988130"
"Population 2011 to 2016","2016","Male","61 years","Population at or over this age","Number","390733"
"Population 2011 to 2016","2016","Male","62 years","Population","Number","23536"
"Population 2011 to 2016","2016","Male","62 years","Population at or under this age","Number","2011666"
"Population 2011 to 2016","2016","Male","62 years","Population at or over this age","Number","366298"
"Population 2011 to 2016","2016","Male","63 years","Population","Number","23523"
"Population 2011 to 2016","2016","Male","63 years","Population at or under this age","Number","2035189"
"Population 2011 to 2016","2016","Male","63 years","Population at or over this age","Number","342762"
"Population 2011 to 2016","2016","Male","64 years","Population","Number","22402"
"Population 2011 to 2016","2016","Male","64 years","Population at or under this age","Number","2057591"
"Population 2011 to 2016","2016","Male","64 years","Population at or over this age","Number","319239"
"Population 2011 to 2016","2016","Male","65 years","Population","Number","22120"
"Population 2011 to 2016","2016","Male","65 years","Population at or under this age","Number","2079711"
"Population 2011 to 2016","2016","Male","65 years","Population at or over this age","Number","296837"
"Population 2011 to 2016","2016","Male","66 years","Population","Number","21361"
"Population 2011 to 2016","2016","Male","66 years","Population at or under this age","Number","2101072"
"Population 2011 to 2016","2016","Male","66 years","Population at or over this age","Number","274717"
"Population 2011 to 2016","2016","Male","67 years","Population","Number","21074"
"Population 2011 to 2016","2016","Male","67 years","Population at or under this age","Number","2122146"
"Population 2011 to 2016","2016","Male","67 years","Population at or over this age","Number","253356"
"Population 2011 to 2016","2016","Male","68 years","Population","Number","20651"
"Population 2011 to 2016","2016","Male","68 years","Population at or under this age","Number","2142797"
"Population 2011 to 2016","2016","Male","68 years","Population at or over this age","Number","232282"
"Population 2011 to 2016","2016","Male","69 years","Population","Number","19755"
"Population 2011 to 2016","2016","Male","69 years","Population at or under this age","Number","2162552"
"Population 2011 to 2016","2016","Male","69 years","Population at or over this age","Number","211631"
"Population 2011 to 2016","2016","Male","70 years","Population","Number","18689"
"Population 2011 to 2016","2016","Male","70 years","Population at or under this age","Number","2181241"
"Population 2011 to 2016","2016","Male","70 years","Population at or over this age","Number","191876"
"Population 2011 to 2016","2016","Male","71 years","Population","Number","16991"
"Population 2011 to 2016","2016","Male","71 years","Population at or under this age","Number","2198232"
"Population 2011 to 2016","2016","Male","71 years","Population at or over this age","Number","173187"
"Population 2011 to 2016","2016","Male","72 years","Population","Number","15919"
"Population 2011 to 2016","2016","Male","72 years","Population at or under this age","Number","2214151"
"Population 2011 to 2016","2016","Male","72 years","Population at or over this age","Number","156196"
"Population 2011 to 2016","2016","Male","73 years","Population","Number","14611"
"Population 2011 to 2016","2016","Male","73 years","Population at or under this age","Number","2228762"
"Population 2011 to 2016","2016","Male","73 years","Population at or over this age","Number","140277"
"Population 2011 to 2016","2016","Male","74 years","Population","Number","13291"
"Population 2011 to 2016","2016","Male","74 years","Population at or under this age","Number","2242053"
"Population 2011 to 2016","2016","Male","74 years","Population at or over this age","Number","125666"
"Population 2011 to 2016","2016","Male","75 years","Population","Number","12142"
"Population 2011 to 2016","2016","Male","75 years","Population at or under this age","Number","2254195"
"Population 2011 to 2016","2016","Male","75 years","Population at or over this age","Number","112375"
"Population 2011 to 2016","2016","Male","76 years","Population","Number","11755"
"Population 2011 to 2016","2016","Male","76 years","Population at or under this age","Number","2265950"
"Population 2011 to 2016","2016","Male","76 years","Population at or over this age","Number","100233"
"Population 2011 to 2016","2016","Male","77 years","Population","Number","10901"
"Population 2011 to 2016","2016","Male","77 years","Population at or under this age","Number","2276851"
"Population 2011 to 2016","2016","Male","77 years","Population at or over this age","Number","88478"
"Population 2011 to 2016","2016","Male","78 years","Population","Number","9955"
"Population 2011 to 2016","2016","Male","78 years","Population at or under this age","Number","2286806"
"Population 2011 to 2016","2016","Male","78 years","Population at or over this age","Number","77577"
"Population 2011 to 2016","2016","Male","79 years","Population","Number","9364"
"Population 2011 to 2016","2016","Male","79 years","Population at or under this age","Number","2296170"
"Population 2011 to 2016","2016","Male","79 years","Population at or over this age","Number","67622"
"Population 2011 to 2016","2016","Male","80 years","Population","Number","8679"
"Population 2011 to 2016","2016","Male","80 years","Population at or under this age","Number","2304849"
"Population 2011 to 2016","2016","Male","80 years","Population at or over this age","Number","58258"
"Population 2011 to 2016","2016","Male","81 years","Population","Number","7846"
"Population 2011 to 2016","2016","Male","81 years","Population at or under this age","Number","2312695"
"Population 2011 to 2016","2016","Male","81 years","Population at or over this age","Number","49579"
"Population 2011 to 2016","2016","Male","82 years","Population","Number","7067"
"Population 2011 to 2016","2016","Male","82 years","Population at or under this age","Number","2319762"
"Population 2011 to 2016","2016","Male","82 years","Population at or over this age","Number","41733"
"Population 2011 to 2016","2016","Male","83 years","Population","Number","6202"
"Population 2011 to 2016","2016","Male","83 years","Population at or under this age","Number","2325964"
"Population 2011 to 2016","2016","Male","83 years","Population at or over this age","Number","34666"
"Population 2011 to 2016","2016","Male","84 years","Population","Number","5402"
"Population 2011 to 2016","2016","Male","84 years","Population at or under this age","Number","2331366"
"Population 2011 to 2016","2016","Male","84 years","Population at or over this age","Number","28464"
"Population 2011 to 2016","2016","Male","85 years","Population","Number","4849"
"Population 2011 to 2016","2016","Male","85 years","Population at or under this age","Number","2336215"
"Population 2011 to 2016","2016","Male","85 years","Population at or over this age","Number","23062"
"Population 2011 to 2016","2016","Male","86 years","Population","Number","3968"
"Population 2011 to 2016","2016","Male","86 years","Population at or under this age","Number","2340183"
"Population 2011 to 2016","2016","Male","86 years","Population at or over this age","Number","18213"
"Population 2011 to 2016","2016","Male","87 years","Population","Number","3180"
"Population 2011 to 2016","2016","Male","87 years","Population at or under this age","Number","2343363"
"Population 2011 to 2016","2016","Male","87 years","Population at or over this age","Number","14245"
"Population 2011 to 2016","2016","Male","88 years","Population","Number","2562"
"Population 2011 to 2016","2016","Male","88 years","Population at or under this age","Number","2345925"
"Population 2011 to 2016","2016","Male","88 years","Population at or over this age","Number","11065"
"Population 2011 to 2016","2016","Male","89 years","Population","Number","2117"
"Population 2011 to 2016","2016","Male","89 years","Population at or under this age","Number","2348042"
"Population 2011 to 2016","2016","Male","89 years","Population at or over this age","Number","8503"
"Population 2011 to 2016","2016","Male","90 years","Population","Number","1673"
"Population 2011 to 2016","2016","Male","90 years","Population at or under this age","Number","2349715"
"Population 2011 to 2016","2016","Male","90 years","Population at or over this age","Number","6386"
"Population 2011 to 2016","2016","Male","91 years","Population","Number","1324"
"Population 2011 to 2016","2016","Male","91 years","Population at or under this age","Number","2351039"
"Population 2011 to 2016","2016","Male","91 years","Population at or over this age","Number","4713"
"Population 2011 to 2016","2016","Male","92 years","Population","Number","966"
"Population 2011 to 2016","2016","Male","92 years","Population at or under this age","Number","2352005"
"Population 2011 to 2016","2016","Male","92 years","Population at or over this age","Number","3389"
"Population 2011 to 2016","2016","Male","93 years","Population","Number","747"
"Population 2011 to 2016","2016","Male","93 years","Population at or under this age","Number","2352752"
"Population 2011 to 2016","2016","Male","93 years","Population at or over this age","Number","2423"
"Population 2011 to 2016","2016","Male","94 years","Population","Number","524"
"Population 2011 to 2016","2016","Male","94 years","Population at or under this age","Number","2353276"
"Population 2011 to 2016","2016","Male","94 years","Population at or over this age","Number","1676"
"Population 2011 to 2016","2016","Male","95 years","Population","Number","388"
"Population 2011 to 2016","2016","Male","95 years","Population at or under this age","Number","2353664"
"Population 2011 to 2016","2016","Male","95 years","Population at or over this age","Number","1152"
"Population 2011 to 2016","2016","Male","96 years","Population","Number","321"
"Population 2011 to 2016","2016","Male","96 years","Population at or under this age","Number","2353985"
"Population 2011 to 2016","2016","Male","96 years","Population at or over this age","Number","764"
"Population 2011 to 2016","2016","Male","97 years","Population","Number","192"
"Population 2011 to 2016","2016","Male","97 years","Population at or under this age","Number","2354177"
"Population 2011 to 2016","2016","Male","97 years","Population at or over this age","Number","443"
"Population 2011 to 2016","2016","Male","98 years","Population","Number","93"
"Population 2011 to 2016","2016","Male","98 years","Population at or under this age","Number","2354270"
"Population 2011 to 2016","2016","Male","98 years","Population at or over this age","Number","251"
"Population 2011 to 2016","2016","Male","99 years","Population","Number","74"
"Population 2011 to 2016","2016","Male","99 years","Population at or under this age","Number","2354344"
"Population 2011 to 2016","2016","Male","99 years","Population at or over this age","Number","158"
"Population 2011 to 2016","2016","Male","100 years and over","Population","Number","84"
"Population 2011 to 2016","2016","Male","100 years and over","Population at or under this age","Number","2354428"
"Population 2011 to 2016","2016","Male","100 years and over","Population at or over this age","Number","84"
"Population 2011 to 2016","2016","Female","All ages","Population","Number","2407437"
"Population 2011 to 2016","2016","Female","All ages","Population at or under this age","Number","2407437"
"Population 2011 to 2016","2016","Female","All ages","Population at or over this age","Number","2407437"
"Population 2011 to 2016","2016","Female","Under 1 year","Population","Number","30381"
"Population 2011 to 2016","2016","Female","Under 1 year","Population at or under this age","Number","30381"
"Population 2011 to 2016","2016","Female","Under 1 year","Population at or over this age","Number","2407437"
"Population 2011 to 2016","2016","Female","1 year","Population","Number","31205"
"Population 2011 to 2016","2016","Female","1 year","Population at or under this age","Number","61586"
"Population 2011 to 2016","2016","Female","1 year","Population at or over this age","Number","2377056"
"Population 2011 to 2016","2016","Female","2 years","Population","Number","32287"
"Population 2011 to 2016","2016","Female","2 years","Population at or under this age","Number","93873"
"Population 2011 to 2016","2016","Female","2 years","Population at or over this age","Number","2345851"
"Population 2011 to 2016","2016","Female","3 years","Population","Number","33291"
"Population 2011 to 2016","2016","Female","3 years","Population at or under this age","Number","127164"
"Population 2011 to 2016","2016","Female","3 years","Population at or over this age","Number","2313564"
"Population 2011 to 2016","2016","Female","4 years","Population","Number","34620"
"Population 2011 to 2016","2016","Female","4 years","Population at or under this age","Number","161784"
"Population 2011 to 2016","2016","Female","4 years","Population at or over this age","Number","2280273"
"Population 2011 to 2016","2016","Female","5 years","Population","Number","35573"
"Population 2011 to 2016","2016","Female","5 years","Population at or under this age","Number","197357"
"Population 2011 to 2016","2016","Female","5 years","Population at or over this age","Number","2245653"
"Population 2011 to 2016","2016","Female","6 years","Population","Number","35484"
"Population 2011 to 2016","2016","Female","6 years","Population at or under this age","Number","232841"
"Population 2011 to 2016","2016","Female","6 years","Population at or over this age","Number","2210080"
"Population 2011 to 2016","2016","Female","7 years","Population","Number","35313"
"Population 2011 to 2016","2016","Female","7 years","Population at or under this age","Number","268154"
"Population 2011 to 2016","2016","Female","7 years","Population at or over this age","Number","2174596"
"Population 2011 to 2016","2016","Female","8 years","Population","Number","35080"
"Population 2011 to 2016","2016","Female","8 years","Population at or under this age","Number","303234"
"Population 2011 to 2016","2016","Female","8 years","Population at or over this age","Number","2139283"
"Population 2011 to 2016","2016","Female","9 years","Population","Number","32641"
"Population 2011 to 2016","2016","Female","9 years","Population at or under this age","Number","335875"
"Population 2011 to 2016","2016","Female","9 years","Population at or over this age","Number","2104203"
"Population 2011 to 2016","2016","Female","10 years","Population","Number","31626"
"Population 2011 to 2016","2016","Female","10 years","Population at or under this age","Number","367501"
"Population 2011 to 2016","2016","Female","10 years","Population at or over this age","Number","2071562"
"Population 2011 to 2016","2016","Female","11 years","Population","Number","30998"
"Population 2011 to 2016","2016","Female","11 years","Population at or under this age","Number","398499"
"Population 2011 to 2016","2016","Female","11 years","Population at or over this age","Number","2039936"
"Population 2011 to 2016","2016","Female","12 years","Population","Number","31429"
"Population 2011 to 2016","2016","Female","12 years","Population at or under this age","Number","429928"
"Population 2011 to 2016","2016","Female","12 years","Population at or over this age","Number","2008938"
"Population 2011 to 2016","2016","Female","13 years","Population","Number","31214"
"Population 2011 to 2016","2016","Female","13 years","Population at or under this age","Number","461142"
"Population 2011 to 2016","2016","Female","13 years","Population at or over this age","Number","1977509"
"Population 2011 to 2016","2016","Female","14 years","Population","Number","30831"
"Population 2011 to 2016","2016","Female","14 years","Population at or under this age","Number","491973"
"Population 2011 to 2016","2016","Female","14 years","Population at or over this age","Number","1946295"
"Population 2011 to 2016","2016","Female","15 years","Population","Number","30160"
"Population 2011 to 2016","2016","Female","15 years","Population at or under this age","Number","522133"
"Population 2011 to 2016","2016","Female","15 years","Population at or over this age","Number","1915464"
"Population 2011 to 2016","2016","Female","16 years","Population","Number","29806"
"Population 2011 to 2016","2016","Female","16 years","Population at or under this age","Number","551939"
"Population 2011 to 2016","2016","Female","16 years","Population at or over this age","Number","1885304"
"Population 2011 to 2016","2016","Female","17 years","Population","Number","29778"
"Population 2011 to 2016","2016","Female","17 years","Population at or under this age","Number","581717"
"Population 2011 to 2016","2016","Female","17 years","Population at or over this age","Number","1855498"
"Population 2011 to 2016","2016","Female","18 years","Population","Number","29911"
"Population 2011 to 2016","2016","Female","18 years","Population at or under this age","Number","611628"
"Population 2011 to 2016","2016","Female","18 years","Population at or over this age","Number","1825720"
"Population 2011 to 2016","2016","Female","19 years","Population","Number","28253"
"Population 2011 to 2016","2016","Female","19 years","Population at or under this age","Number","639881"
"Population 2011 to 2016","2016","Female","19 years","Population at or over this age","Number","1795809"
"Population 2011 to 2016","2016","Female","20 years","Population","Number","27829"
"Population 2011 to 2016","2016","Female","20 years","Population at or under this age","Number","667710"
"Population 2011 to 2016","2016","Female","20 years","Population at or over this age","Number","1767556"
"Population 2011 to 2016","2016","Female","21 years","Population","Number","26990"
"Population 2011 to 2016","2016","Female","21 years","Population at or under this age","Number","694700"
"Population 2011 to 2016","2016","Female","21 years","Population at or over this age","Number","1739727"
"Population 2011 to 2016","2016","Female","22 years","Population","Number","27026"
"Population 2011 to 2016","2016","Female","22 years","Population at or under this age","Number","721726"
"Population 2011 to 2016","2016","Female","22 years","Population at or over this age","Number","1712737"
"Population 2011 to 2016","2016","Female","23 years","Population","Number","26663"
"Population 2011 to 2016","2016","Female","23 years","Population at or under this age","Number","748389"
"Population 2011 to 2016","2016","Female","23 years","Population at or over this age","Number","1685711"
"Population 2011 to 2016","2016","Female","24 years","Population","Number","27544"
"Population 2011 to 2016","2016","Female","24 years","Population at or under this age","Number","775933"
"Population 2011 to 2016","2016","Female","24 years","Population at or over this age","Number","1659048"
"Population 2011 to 2016","2016","Female","25 years","Population","Number","28484"
"Population 2011 to 2016","2016","Female","25 years","Population at or under this age","Number","804417"
"Population 2011 to 2016","2016","Female","25 years","Population at or over this age","Number","1631504"
"Population 2011 to 2016","2016","Female","26 years","Population","Number","28574"
"Population 2011 to 2016","2016","Female","26 years","Population at or under this age","Number","832991"
"Population 2011 to 2016","2016","Female","26 years","Population at or over this age","Number","1603020"
"Population 2011 to 2016","2016","Female","27 years","Population","Number","31413"
"Population 2011 to 2016","2016","Female","27 years","Population at or under this age","Number","864404"
"Population 2011 to 2016","2016","Female","27 years","Population at or over this age","Number","1574446"
"Population 2011 to 2016","2016","Female","28 years","Population","Number","31004"
"Population 2011 to 2016","2016","Female","28 years","Population at or under this age","Number","895408"
"Population 2011 to 2016","2016","Female","28 years","Population at or over this age","Number","1543033"
"Population 2011 to 2016","2016","Female","29 years","Population","Number","32738"
"Population 2011 to 2016","2016","Female","29 years","Population at or under this age","Number","928146"
"Population 2011 to 2016","2016","Female","29 years","Population at or over this age","Number","1512029"
"Population 2011 to 2016","2016","Female","30 years","Population","Number","35595"
"Population 2011 to 2016","2016","Female","30 years","Population at or under this age","Number","963741"
"Population 2011 to 2016","2016","Female","30 years","Population at or over this age","Number","1479291"
"Population 2011 to 2016","2016","Female","31 years","Population","Number","35533"
"Population 2011 to 2016","2016","Female","31 years","Population at or under this age","Number","999274"
"Population 2011 to 2016","2016","Female","31 years","Population at or over this age","Number","1443696"
"Population 2011 to 2016","2016","Female","32 years","Population","Number","37562"
"Population 2011 to 2016","2016","Female","32 years","Population at or under this age","Number","1036836"
"Population 2011 to 2016","2016","Female","32 years","Population at or over this age","Number","1408163"
"Population 2011 to 2016","2016","Female","33 years","Population","Number","39714"
"Population 2011 to 2016","2016","Female","33 years","Population at or under this age","Number","1076550"
"Population 2011 to 2016","2016","Female","33 years","Population at or over this age","Number","1370601"
"Population 2011 to 2016","2016","Female","34 years","Population","Number","40392"
"Population 2011 to 2016","2016","Female","34 years","Population at or under this age","Number","1116942"
"Population 2011 to 2016","2016","Female","34 years","Population at or over this age","Number","1330887"
"Population 2011 to 2016","2016","Female","35 years","Population","Number","41705"
"Population 2011 to 2016","2016","Female","35 years","Population at or under this age","Number","1158647"
"Population 2011 to 2016","2016","Female","35 years","Population at or over this age","Number","1290495"
"Population 2011 to 2016","2016","Female","36 years","Population","Number","42304"
"Population 2011 to 2016","2016","Female","36 years","Population at or under this age","Number","1200951"
"Population 2011 to 2016","2016","Female","36 years","Population at or over this age","Number","1248790"
"Population 2011 to 2016","2016","Female","37 years","Population","Number","39690"
"Population 2011 to 2016","2016","Female","37 years","Population at or under this age","Number","1240641"
"Population 2011 to 2016","2016","Female","37 years","Population at or over this age","Number","1206486"
"Population 2011 to 2016","2016","Female","38 years","Population","Number","37863"
"Population 2011 to 2016","2016","Female","38 years","Population at or under this age","Number","1278504"
"Population 2011 to 2016","2016","Female","38 years","Population at or over this age","Number","1166796"
"Population 2011 to 2016","2016","Female","39 years","Population","Number","36814"
"Population 2011 to 2016","2016","Female","39 years","Population at or under this age","Number","1315318"
"Population 2011 to 2016","2016","Female","39 years","Population at or over this age","Number","1128933"
"Population 2011 to 2016","2016","Female","40 years","Population","Number","36893"
"Population 2011 to 2016","2016","Female","40 years","Population at or under this age","Number","1352211"
"Population 2011 to 2016","2016","Female","40 years","Population at or over this age","Number","1092119"
"Population 2011 to 2016","2016","Female","41 years","Population","Number","36300"
"Population 2011 to 2016","2016","Female","41 years","Population at or under this age","Number","1388511"
"Population 2011 to 2016","2016","Female","41 years","Population at or over this age","Number","1055226"
"Population 2011 to 2016","2016","Female","42 years","Population","Number","35865"
"Population 2011 to 2016","2016","Female","42 years","Population at or under this age","Number","1424376"
"Population 2011 to 2016","2016","Female","42 years","Population at or over this age","Number","1018926"
"Population 2011 to 2016","2016","Female","43 years","Population","Number","35838"
"Population 2011 to 2016","2016","Female","43 years","Population at or under this age","Number","1460214"
"Population 2011 to 2016","2016","Female","43 years","Population at or over this age","Number","983061"
"Population 2011 to 2016","2016","Female","44 years","Population","Number","35082"
"Population 2011 to 2016","2016","Female","44 years","Population at or under this age","Number","1495296"
"Population 2011 to 2016","2016","Female","44 years","Population at or over this age","Number","947223"
"Population 2011 to 2016","2016","Female","45 years","Population","Number","35214"
"Population 2011 to 2016","2016","Female","45 years","Population at or under this age","Number","1530510"
"Population 2011 to 2016","2016","Female","45 years","Population at or over this age","Number","912141"
"Population 2011 to 2016","2016","Female","46 years","Population","Number","33683"
"Population 2011 to 2016","2016","Female","46 years","Population at or under this age","Number","1564193"
"Population 2011 to 2016","2016","Female","46 years","Population at or over this age","Number","876927"
"Population 2011 to 2016","2016","Female","47 years","Population","Number","31708"
"Population 2011 to 2016","2016","Female","47 years","Population at or under this age","Number","1595901"
"Population 2011 to 2016","2016","Female","47 years","Population at or over this age","Number","843244"
"Population 2011 to 2016","2016","Female","48 years","Population","Number","31631"
"Population 2011 to 2016","2016","Female","48 years","Population at or under this age","Number","1627532"
"Population 2011 to 2016","2016","Female","48 years","Population at or over this age","Number","811536"
"Population 2011 to 2016","2016","Female","49 years","Population","Number","31050"
"Population 2011 to 2016","2016","Female","49 years","Population at or under this age","Number","1658582"
"Population 2011 to 2016","2016","Female","49 years","Population at or over this age","Number","779905"
"Population 2011 to 2016","2016","Female","50 years","Population","Number","31223"
"Population 2011 to 2016","2016","Female","50 years","Population at or under this age","Number","1689805"
"Population 2011 to 2016","2016","Female","50 years","Population at or over this age","Number","748855"
"Population 2011 to 2016","2016","Female","51 years","Population","Number","31352"
"Population 2011 to 2016","2016","Female","51 years","Population at or under this age","Number","1721157"
"Population 2011 to 2016","2016","Female","51 years","Population at or over this age","Number","717632"
"Population 2011 to 2016","2016","Female","52 years","Population","Number","30580"
"Population 2011 to 2016","2016","Female","52 years","Population at or under this age","Number","1751737"
"Population 2011 to 2016","2016","Female","52 years","Population at or over this age","Number","686280"
"Population 2011 to 2016","2016","Female","53 years","Population","Number","29875"
"Population 2011 to 2016","2016","Female","53 years","Population at or under this age","Number","1781612"
"Population 2011 to 2016","2016","Female","53 years","Population at or over this age","Number","655700"
"Population 2011 to 2016","2016","Female","54 years","Population","Number","28693"
"Population 2011 to 2016","2016","Female","54 years","Population at or under this age","Number","1810305"
"Population 2011 to 2016","2016","Female","54 years","Population at or over this age","Number","625825"
"Population 2011 to 2016","2016","Female","55 years","Population","Number","28932"
"Population 2011 to 2016","2016","Female","55 years","Population at or under this age","Number","1839237"
"Population 2011 to 2016","2016","Female","55 years","Population at or over this age","Number","597132"
"Population 2011 to 2016","2016","Female","56 years","Population","Number","27862"
"Population 2011 to 2016","2016","Female","56 years","Population at or under this age","Number","1867099"
"Population 2011 to 2016","2016","Female","56 years","Population at or over this age","Number","568200"
"Population 2011 to 2016","2016","Female","57 years","Population","Number","27284"
"Population 2011 to 2016","2016","Female","57 years","Population at or under this age","Number","1894383"
"Population 2011 to 2016","2016","Female","57 years","Population at or over this age","Number","540338"
"Population 2011 to 2016","2016","Female","58 years","Population","Number","26534"
"Population 2011 to 2016","2016","Female","58 years","Population at or under this age","Number","1920917"
"Population 2011 to 2016","2016","Female","58 years","Population at or over this age","Number","513054"
"Population 2011 to 2016","2016","Female","59 years","Population","Number","25632"
"Population 2011 to 2016","2016","Female","59 years","Population at or under this age","Number","1946549"
"Population 2011 to 2016","2016","Female","59 years","Population at or over this age","Number","486520"
"Population 2011 to 2016","2016","Female","60 years","Population","Number","25063"
"Population 2011 to 2016","2016","Female","60 years","Population at or under this age","Number","1971612"
"Population 2011 to 2016","2016","Female","60 years","Population at or over this age","Number","460888"
"Population 2011 to 2016","2016","Female","61 years","Population","Number","24810"
"Population 2011 to 2016","2016","Female","61 years","Population at or under this age","Number","1996422"
"Population 2011 to 2016","2016","Female","61 years","Population at or over this age","Number","435825"
"Population 2011 to 2016","2016","Female","62 years","Population","Number","23764"
"Population 2011 to 2016","2016","Female","62 years","Population at or under this age","Number","2020186"
"Population 2011 to 2016","2016","Female","62 years","Population at or over this age","Number","411015"
"Population 2011 to 2016","2016","Female","63 years","Population","Number","23879"
"Population 2011 to 2016","2016","Female","63 years","Population at or under this age","Number","2044065"
"Population 2011 to 2016","2016","Female","63 years","Population at or over this age","Number","387251"
"Population 2011 to 2016","2016","Female","64 years","Population","Number","22642"
"Population 2011 to 2016","2016","Female","64 years","Population at or under this age","Number","2066707"
"Population 2011 to 2016","2016","Female","64 years","Population at or over this age","Number","363372"
"Population 2011 to 2016","2016","Female","65 years","Population","Number","22036"
"Population 2011 to 2016","2016","Female","65 years","Population at or under this age","Number","2088743"
"Population 2011 to 2016","2016","Female","65 years","Population at or over this age","Number","340730"
"Population 2011 to 2016","2016","Female","66 years","Population","Number","22185"
"Population 2011 to 2016","2016","Female","66 years","Population at or under this age","Number","2110928"
"Population 2011 to 2016","2016","Female","66 years","Population at or over this age","Number","318694"
"Population 2011 to 2016","2016","Female","67 years","Population","Number","21368"
"Population 2011 to 2016","2016","Female","67 years","Population at or under this age","Number","2132296"
"Population 2011 to 2016","2016","Female","67 years","Population at or over this age","Number","296509"
"Population 2011 to 2016","2016","Female","68 years","Population","Number","20738"
"Population 2011 to 2016","2016","Female","68 years","Population at or under this age","Number","2153034"
"Population 2011 to 2016","2016","Female","68 years","Population at or over this age","Number","275141"
"Population 2011 to 2016","2016","Female","69 years","Population","Number","19948"
"Population 2011 to 2016","2016","Female","69 years","Population at or under this age","Number","2172982"
"Population 2011 to 2016","2016","Female","69 years","Population at or over this age","Number","254403"
"Population 2011 to 2016","2016","Female","70 years","Population","Number","19132"
"Population 2011 to 2016","2016","Female","70 years","Population at or under this age","Number","2192114"
"Population 2011 to 2016","2016","Female","70 years","Population at or over this age","Number","234455"
"Population 2011 to 2016","2016","Female","71 years","Population","Number","17621"
"Population 2011 to 2016","2016","Female","71 years","Population at or under this age","Number","2209735"
"Population 2011 to 2016","2016","Female","71 years","Population at or over this age","Number","215323"
"Population 2011 to 2016","2016","Female","72 years","Population","Number","16511"
"Population 2011 to 2016","2016","Female","72 years","Population at or under this age","Number","2226246"
"Population 2011 to 2016","2016","Female","72 years","Population at or over this age","Number","197702"
"Population 2011 to 2016","2016","Female","73 years","Population","Number","15608"
"Population 2011 to 2016","2016","Female","73 years","Population at or under this age","Number","2241854"
"Population 2011 to 2016","2016","Female","73 years","Population at or over this age","Number","181191"
"Population 2011 to 2016","2016","Female","74 years","Population","Number","13899"
"Population 2011 to 2016","2016","Female","74 years","Population at or under this age","Number","2255753"
"Population 2011 to 2016","2016","Female","74 years","Population at or over this age","Number","165583"
"Population 2011 to 2016","2016","Female","75 years","Population","Number","13307"
"Population 2011 to 2016","2016","Female","75 years","Population at or under this age","Number","2269060"
"Population 2011 to 2016","2016","Female","75 years","Population at or over this age","Number","151684"
